Name,Type,Balance Sheet Owner,Market,Year,Partner,Document,Unit,Intensity factor
Société Générale,Bank,Société Générale,"B2C, B2B",2017,Carbon4 Finance,https://www.oxfamfrance.org/wp-content/uploads/2020/10/rapportBanque_OXFAM_v5.pdf,tCO2e / €m invested,652
BNP Paribas,Bank,BNP Paribas,"B2C, B2B",2017,Carbon4 Finance,https://www.oxfamfrance.org/wp-content/uploads/2020/10/rapportBanque_OXFAM_v5.pdf,tCO2e / €m invested,601
Crédit Agricole,Bank,Crédit Agricole,"B2C, B2B",2017,Carbon4 Finance,https://www.oxfamfrance.org/wp-content/uploads/2020/10/rapportBanque_OXFAM_v5.pdf,tCO2e / €m invested,444
BPCE,Bank,BPCE,"B2C, B2B",2017,Carbon4 Finance,https://www.oxfamfrance.org/wp-content/uploads/2020/10/rapportBanque_OXFAM_v5.pdf,tCO2e / €m invested,379
La Banque Postale,Bank,La Banque Postale,"B2C, B2B",2018,Carbon4 Finance,https://www.oxfamfrance.org/wp-content/uploads/2020/10/rapportBanque_OXFAM_v5.pdf,tCO2e / €m invested,379
Crédit Mutuel,Bank,Crédit Mutuel,"B2C, B2B",2019,Carbon4 Finance,https://www.oxfamfrance.org/wp-content/uploads/2020/10/rapportBanque_OXFAM_v5.pdf,tCO2e / €m invested,353
Société Générale,Bank,Société Générale,"B2C, B2B",2020,Carbon4 Finance,https://www.oxfamfrance.org/wp-content/uploads/2021/10/rapportOXFAM_BanquesetClimat_vF.pdf,tCO2e / €m invested,635
BNP Paribas,Bank,BNP Paribas,"B2C, B2B",2020,Carbon4 Finance,https://www.oxfamfrance.org/wp-content/uploads/2021/10/rapportOXFAM_BanquesetClimat_vF.pdf,tCO2e / €m invested,535
Crédit Agricole,Bank,Crédit Agricole,"B2C, B2B",2020,Carbon4 Finance,https://www.oxfamfrance.org/wp-content/uploads/2021/10/rapportOXFAM_BanquesetClimat_vF.pdf,tCO2e / €m invested,519
BPCE,Bank,BPCE,"B2C, B2B",2020,Carbon4 Finance,https://www.oxfamfrance.org/wp-content/uploads/2021/10/rapportOXFAM_BanquesetClimat_vF.pdf,tCO2e / €m invested,423
La Banque Postale,Bank,La Banque Postale,"B2C, B2B",2020,Carbon4 Finance,https://www.oxfamfrance.org/wp-content/uploads/2021/10/rapportOXFAM_BanquesetClimat_vF.pdf,tCO2e / €m invested,388
Crédit Mutuel,Bank,Crédit Mutuel,"B2C, B2B",2020,Carbon4 Finance,https://www.oxfamfrance.org/wp-content/uploads/2021/10/rapportOXFAM_BanquesetClimat_vF.pdf,tCO2e / €m invested,387
La Nef,Specialised Credit Institution,La Nef,"B2C, B2B",2020,Carbon4 Finance,https://www.lanef.com/actualites/la-nef-letablissement-financier-au-plus-faible-impact-carbone-en-france/,tCO2e / €m invested,121
Crédit coopératif,Bank,Crédit coopératif,"B2C, B2B",2021,Carbon4 Finance,https://www.credit-cooperatif.coop/votre-banque/a-la-une/credit-cooperatif-plus-faible-impact-carbone/,tCO2e / €m invested,120
Helios,Agent providing payment services,Solaris Bank,B2C,2022,Greenly,https://www.helios.do/assets/pdf/rapport-impact-Helios-2022.pdf,tCO2e / €m invested,148
Memo Bank,Bank,Memo Bank,B2B,2022,Magelan,https://drive.google.com/file/d/1MNp4vRgAdu5k17MI12Kf2pLDt-FlFw_K/view?usp=sharing,tCO2e / €m invested,123
