NACE Code,NACE Name,EXIOBASE Code,EXIOBASE Name,Year,Unit,AD,AE,AF,AG,AI,AL,AM,AO,AQ,AR,AS,AT,AU,AW,AX,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BL,BM,BN,BO,BQ,BR,BS,BT,BV,BW,BY,BZ,CA,CC,CD,CF,CG,CH,CI,CK,CL,CM,CN,CO,CR,CU,CV,CW,CX,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,EH,ER,ES,ET,FI,FJ,FK,FM,FO,FR,GA,GB,GD,GE,GF,GG,GH,GI,GL,GM,GN,GP,GQ,GR,GS,GT,GU,GW,GY,HK,HM,HN,HR,HT,HU,ID,IE,IL,IM,IN,IO,IQ,IR,IS,IT,JE,JM,JO,JP,KE,KG,KH,KI,KM,KN,KP,KR,KW,KY,KZ,LA,LB,LC,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MF,MG,MH,MK,ML,MM,MN,MO,MP,MQ,MR,MS,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NF,NG,NI,NL,NO,NP,NR,NU,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PM,PN,PR,PS,PT,PW,PY,QA,RE,RO,RS,RU,RW,SA,SB,SC,SD,SE,SG,SH,SI,SJ,SK,SL,SM,SN,SO,SR,SS,ST,SV,SX,SY,SZ,TC,TD,TF,TG,TH,TJ,TK,TL,TM,TN,TO,TR,TT,TV,TW,TZ,UA,UG,UM,US,UY,UZ,VA,VC,VE,VG,VI,VN,VU,WF,WS,YE,YT,ZA,ZM,ZW
0111,"Growing of cereals (except rice), leguminous crops and oil seeds",S1,"Agriculture, hunting, forestry & fishing",2019,tCO2e/M€,1442.11,1755.68,2745.72,2791.10,2791.10,2307.98,2745.72,2154.23,2745.72,2791.10,2745.72,1410.99,3651.41,2791.10,2307.98,2745.72,2307.98,2791.10,2745.72,1474.76,2154.23,2246.16,1755.68,2154.23,2154.23,2791.10,2791.10,2745.72,2791.10,2791.10,5457.83,2791.10,2745.72,2791.10,2154.23,2307.98,2791.10,1678.50,2745.72,2154.23,2154.23,2154.23,899.85,2154.23,2745.72,2791.10,2154.23,1548.45,2791.10,2791.10,2791.10,2154.23,2791.10,2745.72,1807.27,1303.92,2059.45,2154.23,1519.93,2791.10,2791.10,2154.23,2791.10,1892.97,1755.68,2154.23,2154.23,1287.72,2154.23,972.15,2745.72,2791.10,2745.72,2307.98,1442.11,2154.23,2248.87,2791.10,2745.72,2791.10,2307.98,2154.23,1287.72,2791.10,2154.23,2154.23,2791.10,2154.23,1395.55,2791.10,2791.10,2745.72,2154.23,2791.10,1548.45,2745.72,2791.10,1081.76,2791.10,1256.81,1959.20,4500.92,1755.68,2307.98,2342.11,2154.23,1755.68,1755.68,2307.98,1084.09,2307.98,2791.10,1755.68,1847.10,2154.23,2745.72,2745.72,2745.72,2154.23,2791.10,2745.72,2495.59,1755.68,2791.10,2745.72,2745.72,1755.68,2791.10,899.85,2745.72,2154.23,2154.23,2005.16,2254.20,1723.47,2154.23,2154.23,1442.11,2307.98,2307.98,2791.10,2154.23,2745.72,2307.98,2154.23,2745.72,2745.72,1548.45,2745.72,2791.10,2154.23,2791.10,846.31,2154.23,2745.72,2154.23,2539.67,2745.72,2154.23,2154.23,2745.72,2154.23,2745.72,2154.23,2791.10,1239.10,685.50,2745.72,2745.72,2745.72,2745.72,1755.68,2791.10,2791.10,2745.72,2745.72,2745.72,2745.72,3255.66,2791.10,2745.72,2791.10,1755.68,1446.72,2745.72,2791.10,1755.68,2154.23,1825.07,2307.98,2727.41,2154.23,1755.68,2745.72,2154.23,2154.23,923.30,2745.72,2154.23,1448.15,2307.98,1306.49,2154.23,1084.09,2154.23,2154.23,2791.10,2154.23,2154.23,2791.10,2791.10,1755.68,2154.23,2791.10,2154.23,2154.23,2154.23,2745.72,2745.72,2745.72,2745.72,2745.72,2154.23,2745.72,1563.49,2791.10,2745.72,2155.21,2154.23,2307.98,2154.23,2745.72,1973.84,2791.10,2745.72,1084.09,2791.10,2791.10,2791.10,2791.10,2745.72,2745.72,2745.72,2745.72,1755.68,2154.23,3239.21,2154.23,2154.23
0112,Growing of rice,p01.a,Paddy rice,2019,tCO2e/M€,677.98,8923.65,14264.08,5694.23,5694.23,4411.18,14264.08,7140.88,14264.08,5694.23,14264.08,,9207.64,5694.23,4411.18,14264.08,4411.18,5694.23,14264.08,,7140.88,1035.10,8923.65,7140.88,7140.88,5694.23,5694.23,14264.08,5694.23,5694.23,2763.81,5694.23,14264.08,5694.23,7140.88,4411.18,5694.23,,14264.08,7140.88,7140.88,7140.88,,7140.88,14264.08,5694.23,7140.88,7512.40,5694.23,5694.23,5694.23,7140.88,5694.23,14264.08,,,,7140.88,,5694.23,5694.23,7140.88,5694.23,,8923.65,7140.88,7140.88,7420.88,7140.88,,14264.08,5694.23,14264.08,4411.18,677.98,7140.88,,5694.23,14264.08,5694.23,4411.18,7140.88,7420.88,5694.23,7140.88,7140.88,5694.23,7140.88,4979.90,5694.23,5694.23,14264.08,7140.88,5694.23,7512.40,14264.08,5694.23,9848.94,5694.23,310.70,7582.49,,8923.65,4411.18,5671.65,7140.88,8923.65,8923.65,4411.18,2811.19,4411.18,5694.23,8923.65,1986.98,7140.88,14264.08,14264.08,14264.08,7140.88,5694.23,14264.08,948.45,8923.65,5694.23,14264.08,14264.08,8923.65,5694.23,,14264.08,7140.88,7140.88,,,,7140.88,7140.88,677.98,4411.18,4411.18,5694.23,7140.88,14264.08,4411.18,7140.88,14264.08,14264.08,7512.40,14264.08,5694.23,7140.88,5694.23,,7140.88,14264.08,7140.88,1492.98,14264.08,7140.88,7140.88,14264.08,7140.88,14264.08,7140.88,5694.23,,,14264.08,14264.08,14264.08,14264.08,8923.65,5694.23,5694.23,14264.08,14264.08,14264.08,14264.08,,5694.23,14264.08,5694.23,8923.65,298.24,14264.08,5694.23,8923.65,7140.88,673.76,4411.18,6557.13,7140.88,8923.65,14264.08,7140.88,7140.88,,14264.08,7140.88,,4411.18,,7140.88,2811.19,7140.88,7140.88,5694.23,7140.88,7140.88,5694.23,5694.23,8923.65,7140.88,5694.23,7140.88,7140.88,7140.88,14264.08,14264.08,14264.08,14264.08,14264.08,7140.88,14264.08,2667.32,5694.23,14264.08,3660.52,7140.88,4411.18,7140.88,14264.08,6145.56,5694.23,14264.08,2811.19,5694.23,5694.23,5694.23,5694.23,14264.08,14264.08,14264.08,14264.08,8923.65,7140.88,5064.88,7140.88,7140.88
0113,"Growing of vegetables and melons, roots and tubers",p01.d,"Vegetables, fruit, nuts",2019,tCO2e/M€,319.69,335.95,641.29,401.56,401.56,1193.41,641.29,289.91,641.29,401.56,641.29,283.64,1643.38,401.56,1193.41,641.29,1193.41,401.56,641.29,737.73,289.91,514.91,335.95,289.91,289.91,401.56,401.56,641.29,401.56,401.56,1934.03,401.56,641.29,401.56,289.91,1193.41,401.56,1199.87,641.29,289.91,289.91,289.91,873.37,289.91,641.29,401.56,289.91,1344.84,401.56,401.56,401.56,289.91,401.56,641.29,373.82,998.04,706.77,289.91,631.94,401.56,401.56,289.91,401.56,693.93,335.95,289.91,289.91,528.97,289.91,432.15,641.29,401.56,641.29,1193.41,319.69,289.91,645.14,401.56,641.29,401.56,1193.41,289.91,528.97,401.56,289.91,289.91,401.56,289.91,604.24,401.56,401.56,641.29,289.91,401.56,1344.84,641.29,401.56,636.87,401.56,906.87,639.17,1111.93,335.95,1193.41,900.98,289.91,335.95,335.95,1193.41,562.28,1193.41,401.56,335.95,1637.05,289.91,641.29,641.29,641.29,289.91,401.56,641.29,1592.96,335.95,401.56,641.29,641.29,335.95,401.56,873.37,641.29,289.91,289.91,946.95,1180.85,693.78,289.91,289.91,319.69,1193.41,1193.41,401.56,289.91,641.29,1193.41,289.91,641.29,641.29,1344.84,641.29,401.56,289.91,401.56,403.87,289.91,641.29,289.91,881.86,641.29,289.91,289.91,641.29,289.91,641.29,289.91,401.56,788.81,709.82,641.29,641.29,641.29,641.29,335.95,401.56,401.56,641.29,641.29,641.29,641.29,1394.18,401.56,641.29,401.56,335.95,743.59,641.29,401.56,335.95,289.91,748.36,1193.41,1910.46,289.91,335.95,641.29,289.91,289.91,412.11,641.29,289.91,446.33,1193.41,375.39,289.91,562.28,289.91,289.91,401.56,289.91,289.91,401.56,401.56,335.95,289.91,401.56,289.91,289.91,289.91,641.29,641.29,641.29,641.29,641.29,289.91,641.29,1005.03,401.56,641.29,1633.36,289.91,1193.41,289.91,641.29,1230.53,401.56,641.29,562.28,401.56,401.56,401.56,401.56,641.29,641.29,641.29,641.29,335.95,289.91,1026.59,289.91,289.91
0114,Growing of sugar cane,p01.f,"Sugar cane, sugar beet",2019,tCO2e/M€,1442.49,5505.32,1513.10,2972.02,2972.02,6620.29,1513.10,1044.88,1513.10,2972.02,1513.10,1570.12,1839.93,2972.02,6620.29,1513.10,6620.29,2972.02,1513.10,2335.15,1044.88,3476.17,5505.32,1044.88,1044.88,2972.02,2972.02,1513.10,2972.02,2972.02,6844.95,2972.02,1513.10,2972.02,1044.88,6620.29,2972.02,586.46,1513.10,1044.88,1044.88,1044.88,477.77,1044.88,1513.10,2972.02,1044.88,257.24,2972.02,2972.02,2972.02,1044.88,2972.02,1513.10,,1236.09,1146.14,1044.88,1446.32,2972.02,2972.02,1044.88,2972.02,,5505.32,1044.88,1044.88,1070.73,1044.88,2087.97,1513.10,2972.02,1513.10,6620.29,1442.49,1044.88,1885.88,2972.02,1513.10,2972.02,6620.29,1044.88,1070.73,2972.02,1044.88,1044.88,2972.02,1044.88,5705.74,2972.02,2972.02,1513.10,1044.88,2972.02,257.24,1513.10,2972.02,512.64,2972.02,2321.91,5189.71,,5505.32,6620.29,1616.96,1044.88,5505.32,5505.32,6620.29,948.73,6620.29,2972.02,5505.32,9855.59,1044.88,1513.10,1513.10,1513.10,1044.88,2972.02,1513.10,,5505.32,2972.02,1513.10,1513.10,5505.32,2972.02,477.77,1513.10,1044.88,1044.88,3720.31,,1450.84,1044.88,1044.88,1442.49,6620.29,6620.29,2972.02,1044.88,1513.10,6620.29,1044.88,1513.10,1513.10,257.24,1513.10,2972.02,1044.88,2972.02,,1044.88,1513.10,1044.88,1711.08,1513.10,1044.88,1044.88,1513.10,1044.88,1513.10,1044.88,2972.02,1729.51,,1513.10,1513.10,1513.10,1513.10,5505.32,2972.02,2972.02,1513.10,1513.10,1513.10,1513.10,4273.17,2972.02,1513.10,2972.02,5505.32,14089.63,1513.10,2972.02,5505.32,1044.88,3194.90,6620.29,3003.25,1044.88,5505.32,1513.10,1044.88,1044.88,1568.56,1513.10,1044.88,,6620.29,1305.18,1044.88,948.73,1044.88,1044.88,2972.02,1044.88,1044.88,2972.02,2972.02,5505.32,1044.88,2972.02,1044.88,1044.88,1044.88,1513.10,1513.10,1513.10,1513.10,1513.10,1044.88,1513.10,901.16,2972.02,1513.10,9509.52,1044.88,6620.29,1044.88,1513.10,8400.35,2972.02,1513.10,948.73,2972.02,2972.02,2972.02,2972.02,1513.10,1513.10,1513.10,1513.10,5505.32,1044.88,1483.93,1044.88,1044.88
0115,Growing of tobacco,p01.h,Crops nec,2019,tCO2e/M€,1797.89,3043.59,1577.67,885.41,885.41,3426.98,1577.67,1172.74,1577.67,885.41,1577.67,656.60,733.76,885.41,3426.98,1577.67,3426.98,885.41,1577.67,553.49,1172.74,2286.51,3043.59,1172.74,1172.74,885.41,885.41,1577.67,885.41,885.41,2360.49,885.41,1577.67,885.41,1172.74,3426.98,885.41,1619.34,1577.67,1172.74,1172.74,1172.74,1542.10,1172.74,1577.67,885.41,1172.74,494.75,885.41,885.41,885.41,1172.74,885.41,1577.67,954.89,964.38,2972.55,1172.74,756.02,885.41,885.41,1172.74,885.41,799.59,3043.59,1172.74,1172.74,450.01,1172.74,919.23,1577.67,885.41,1577.67,3426.98,1797.89,1172.74,1440.89,885.41,1577.67,885.41,3426.98,1172.74,450.01,885.41,1172.74,1172.74,885.41,1172.74,800.14,885.41,885.41,1577.67,1172.74,885.41,494.75,1577.67,885.41,622.61,885.41,376.99,1915.98,2225.78,3043.59,3426.98,2441.61,1172.74,3043.59,3043.59,3426.98,582.06,3426.98,885.41,3043.59,1525.20,1172.74,1577.67,1577.67,1577.67,1172.74,885.41,1577.67,4440.23,3043.59,885.41,1577.67,1577.67,3043.59,885.41,1542.10,1577.67,1172.74,1172.74,5194.64,1725.43,4780.13,1172.74,1172.74,1797.89,3426.98,3426.98,885.41,1172.74,1577.67,3426.98,1172.74,1577.67,1577.67,494.75,1577.67,885.41,1172.74,885.41,1762.68,1172.74,1577.67,1172.74,1242.95,1577.67,1172.74,1172.74,1577.67,1172.74,1577.67,1172.74,885.41,220.41,583.99,1577.67,1577.67,1577.67,1577.67,3043.59,885.41,885.41,1577.67,1577.67,1577.67,1577.67,3237.68,885.41,1577.67,885.41,3043.59,3100.36,1577.67,885.41,3043.59,1172.74,1858.39,3426.98,1478.47,1172.74,3043.59,1577.67,1172.74,1172.74,691.82,1577.67,1172.74,482.99,3426.98,414.19,1172.74,582.06,1172.74,1172.74,885.41,1172.74,1172.74,885.41,885.41,3043.59,1172.74,885.41,1172.74,1172.74,1172.74,1577.67,1577.67,1577.67,1577.67,1577.67,1172.74,1577.67,1465.91,885.41,1577.67,6459.21,1172.74,3426.98,1172.74,1577.67,5511.00,885.41,1577.67,582.06,885.41,885.41,885.41,885.41,1577.67,1577.67,1577.67,1577.67,3043.59,1172.74,3027.09,1172.74,1172.74
0116,Growing of fibre crops,p01.g,Plant-based fibers,2019,tCO2e/M€,1307.96,2735.81,2545.36,1544.68,1544.68,2510.86,2545.36,1983.93,2545.36,1544.68,2545.36,558.67,2374.82,1544.68,2510.86,2545.36,2510.86,1544.68,2545.36,561.48,1983.93,2216.38,2735.81,1983.93,1983.93,1544.68,1544.68,2545.36,1544.68,1544.68,1574.87,1544.68,2545.36,1544.68,1983.93,2510.86,1544.68,727.31,2545.36,1983.93,1983.93,1983.93,,1983.93,2545.36,1544.68,1983.93,1126.74,1544.68,1544.68,1544.68,1983.93,1544.68,2545.36,,558.67,,1983.93,,1544.68,1544.68,1983.93,1544.68,558.67,2735.81,1983.93,1983.93,545.36,1983.93,,2545.36,1544.68,2545.36,2510.86,1307.96,1983.93,540.14,1544.68,2545.36,1544.68,2510.86,1983.93,545.36,1544.68,1983.93,1983.93,1544.68,1983.93,519.29,1544.68,1544.68,2545.36,1983.93,1544.68,1126.74,2545.36,1544.68,354.49,1544.68,2216.38,8783.16,,2735.81,2510.86,1936.64,1983.93,2735.81,2735.81,2510.86,558.67,2510.86,1544.68,2735.81,3798.20,1983.93,2545.36,2545.36,2545.36,1983.93,1544.68,2545.36,3798.20,2735.81,1544.68,2545.36,2545.36,2735.81,1544.68,,2545.36,1983.93,1983.93,333.20,,558.67,1983.93,1983.93,1307.96,2510.86,2510.86,1544.68,1983.93,2545.36,2510.86,1983.93,2545.36,2545.36,1126.74,2545.36,1544.68,1983.93,1544.68,,1983.93,2545.36,1983.93,1839.69,2545.36,1983.93,1983.93,2545.36,1983.93,2545.36,1983.93,1544.68,951.12,,2545.36,2545.36,2545.36,2545.36,2735.81,1544.68,1544.68,2545.36,2545.36,2545.36,2545.36,776.31,1544.68,2545.36,1544.68,2735.81,,2545.36,1544.68,2735.81,1983.93,2216.38,2510.86,2087.58,1983.93,2735.81,2545.36,1983.93,1983.93,,2545.36,1983.93,,2510.86,3638.41,1983.93,558.67,1983.93,1983.93,1544.68,1983.93,1983.93,1544.68,1544.68,2735.81,1983.93,1544.68,1983.93,1983.93,1983.93,2545.36,2545.36,2545.36,2545.36,2545.36,1983.93,2545.36,1513.26,1544.68,2545.36,3798.20,1983.93,2510.86,1983.93,2545.36,5902.33,1544.68,2545.36,558.67,1544.68,1544.68,1544.68,1544.68,2545.36,2545.36,2545.36,2545.36,2735.81,1983.93,1000.95,1983.93,1983.93
0119,Growing of other non-perennial crops,S1,"Agriculture, hunting, forestry & fishing",2019,tCO2e/M€,1442.11,1755.68,2745.72,2791.10,2791.10,2307.98,2745.72,2154.23,2745.72,2791.10,2745.72,1410.99,3651.41,2791.10,2307.98,2745.72,2307.98,2791.10,2745.72,1474.76,2154.23,2246.16,1755.68,2154.23,2154.23,2791.10,2791.10,2745.72,2791.10,2791.10,5457.83,2791.10,2745.72,2791.10,2154.23,2307.98,2791.10,1678.50,2745.72,2154.23,2154.23,2154.23,899.85,2154.23,2745.72,2791.10,2154.23,1548.45,2791.10,2791.10,2791.10,2154.23,2791.10,2745.72,1807.27,1303.92,2059.45,2154.23,1519.93,2791.10,2791.10,2154.23,2791.10,1892.97,1755.68,2154.23,2154.23,1287.72,2154.23,972.15,2745.72,2791.10,2745.72,2307.98,1442.11,2154.23,2248.87,2791.10,2745.72,2791.10,2307.98,2154.23,1287.72,2791.10,2154.23,2154.23,2791.10,2154.23,1395.55,2791.10,2791.10,2745.72,2154.23,2791.10,1548.45,2745.72,2791.10,1081.76,2791.10,1256.81,1959.20,4500.92,1755.68,2307.98,2342.11,2154.23,1755.68,1755.68,2307.98,1084.09,2307.98,2791.10,1755.68,1847.10,2154.23,2745.72,2745.72,2745.72,2154.23,2791.10,2745.72,2495.59,1755.68,2791.10,2745.72,2745.72,1755.68,2791.10,899.85,2745.72,2154.23,2154.23,2005.16,2254.20,1723.47,2154.23,2154.23,1442.11,2307.98,2307.98,2791.10,2154.23,2745.72,2307.98,2154.23,2745.72,2745.72,1548.45,2745.72,2791.10,2154.23,2791.10,846.31,2154.23,2745.72,2154.23,2539.67,2745.72,2154.23,2154.23,2745.72,2154.23,2745.72,2154.23,2791.10,1239.10,685.50,2745.72,2745.72,2745.72,2745.72,1755.68,2791.10,2791.10,2745.72,2745.72,2745.72,2745.72,3255.66,2791.10,2745.72,2791.10,1755.68,1446.72,2745.72,2791.10,1755.68,2154.23,1825.07,2307.98,2727.41,2154.23,1755.68,2745.72,2154.23,2154.23,923.30,2745.72,2154.23,1448.15,2307.98,1306.49,2154.23,1084.09,2154.23,2154.23,2791.10,2154.23,2154.23,2791.10,2791.10,1755.68,2154.23,2791.10,2154.23,2154.23,2154.23,2745.72,2745.72,2745.72,2745.72,2745.72,2154.23,2745.72,1563.49,2791.10,2745.72,2155.21,2154.23,2307.98,2154.23,2745.72,1973.84,2791.10,2745.72,1084.09,2791.10,2791.10,2791.10,2791.10,2745.72,2745.72,2745.72,2745.72,1755.68,2154.23,3239.21,2154.23,2154.23
0121,Growing of grapes,p01.d,"Vegetables, fruit, nuts",2019,tCO2e/M€,319.69,335.95,641.29,401.56,401.56,1193.41,641.29,289.91,641.29,401.56,641.29,283.64,1643.38,401.56,1193.41,641.29,1193.41,401.56,641.29,737.73,289.91,514.91,335.95,289.91,289.91,401.56,401.56,641.29,401.56,401.56,1934.03,401.56,641.29,401.56,289.91,1193.41,401.56,1199.87,641.29,289.91,289.91,289.91,873.37,289.91,641.29,401.56,289.91,1344.84,401.56,401.56,401.56,289.91,401.56,641.29,373.82,998.04,706.77,289.91,631.94,401.56,401.56,289.91,401.56,693.93,335.95,289.91,289.91,528.97,289.91,432.15,641.29,401.56,641.29,1193.41,319.69,289.91,645.14,401.56,641.29,401.56,1193.41,289.91,528.97,401.56,289.91,289.91,401.56,289.91,604.24,401.56,401.56,641.29,289.91,401.56,1344.84,641.29,401.56,636.87,401.56,906.87,639.17,1111.93,335.95,1193.41,900.98,289.91,335.95,335.95,1193.41,562.28,1193.41,401.56,335.95,1637.05,289.91,641.29,641.29,641.29,289.91,401.56,641.29,1592.96,335.95,401.56,641.29,641.29,335.95,401.56,873.37,641.29,289.91,289.91,946.95,1180.85,693.78,289.91,289.91,319.69,1193.41,1193.41,401.56,289.91,641.29,1193.41,289.91,641.29,641.29,1344.84,641.29,401.56,289.91,401.56,403.87,289.91,641.29,289.91,881.86,641.29,289.91,289.91,641.29,289.91,641.29,289.91,401.56,788.81,709.82,641.29,641.29,641.29,641.29,335.95,401.56,401.56,641.29,641.29,641.29,641.29,1394.18,401.56,641.29,401.56,335.95,743.59,641.29,401.56,335.95,289.91,748.36,1193.41,1910.46,289.91,335.95,641.29,289.91,289.91,412.11,641.29,289.91,446.33,1193.41,375.39,289.91,562.28,289.91,289.91,401.56,289.91,289.91,401.56,401.56,335.95,289.91,401.56,289.91,289.91,289.91,641.29,641.29,641.29,641.29,641.29,289.91,641.29,1005.03,401.56,641.29,1633.36,289.91,1193.41,289.91,641.29,1230.53,401.56,641.29,562.28,401.56,401.56,401.56,401.56,641.29,641.29,641.29,641.29,335.95,289.91,1026.59,289.91,289.91
0122,Growing of tropical and subtropical fruits,p01.d,"Vegetables, fruit, nuts",2019,tCO2e/M€,319.69,335.95,641.29,401.56,401.56,1193.41,641.29,289.91,641.29,401.56,641.29,283.64,1643.38,401.56,1193.41,641.29,1193.41,401.56,641.29,737.73,289.91,514.91,335.95,289.91,289.91,401.56,401.56,641.29,401.56,401.56,1934.03,401.56,641.29,401.56,289.91,1193.41,401.56,1199.87,641.29,289.91,289.91,289.91,873.37,289.91,641.29,401.56,289.91,1344.84,401.56,401.56,401.56,289.91,401.56,641.29,373.82,998.04,706.77,289.91,631.94,401.56,401.56,289.91,401.56,693.93,335.95,289.91,289.91,528.97,289.91,432.15,641.29,401.56,641.29,1193.41,319.69,289.91,645.14,401.56,641.29,401.56,1193.41,289.91,528.97,401.56,289.91,289.91,401.56,289.91,604.24,401.56,401.56,641.29,289.91,401.56,1344.84,641.29,401.56,636.87,401.56,906.87,639.17,1111.93,335.95,1193.41,900.98,289.91,335.95,335.95,1193.41,562.28,1193.41,401.56,335.95,1637.05,289.91,641.29,641.29,641.29,289.91,401.56,641.29,1592.96,335.95,401.56,641.29,641.29,335.95,401.56,873.37,641.29,289.91,289.91,946.95,1180.85,693.78,289.91,289.91,319.69,1193.41,1193.41,401.56,289.91,641.29,1193.41,289.91,641.29,641.29,1344.84,641.29,401.56,289.91,401.56,403.87,289.91,641.29,289.91,881.86,641.29,289.91,289.91,641.29,289.91,641.29,289.91,401.56,788.81,709.82,641.29,641.29,641.29,641.29,335.95,401.56,401.56,641.29,641.29,641.29,641.29,1394.18,401.56,641.29,401.56,335.95,743.59,641.29,401.56,335.95,289.91,748.36,1193.41,1910.46,289.91,335.95,641.29,289.91,289.91,412.11,641.29,289.91,446.33,1193.41,375.39,289.91,562.28,289.91,289.91,401.56,289.91,289.91,401.56,401.56,335.95,289.91,401.56,289.91,289.91,289.91,641.29,641.29,641.29,641.29,641.29,289.91,641.29,1005.03,401.56,641.29,1633.36,289.91,1193.41,289.91,641.29,1230.53,401.56,641.29,562.28,401.56,401.56,401.56,401.56,641.29,641.29,641.29,641.29,335.95,289.91,1026.59,289.91,289.91
0123,Growing of citrus fruits,p01.d,"Vegetables, fruit, nuts",2019,tCO2e/M€,319.69,335.95,641.29,401.56,401.56,1193.41,641.29,289.91,641.29,401.56,641.29,283.64,1643.38,401.56,1193.41,641.29,1193.41,401.56,641.29,737.73,289.91,514.91,335.95,289.91,289.91,401.56,401.56,641.29,401.56,401.56,1934.03,401.56,641.29,401.56,289.91,1193.41,401.56,1199.87,641.29,289.91,289.91,289.91,873.37,289.91,641.29,401.56,289.91,1344.84,401.56,401.56,401.56,289.91,401.56,641.29,373.82,998.04,706.77,289.91,631.94,401.56,401.56,289.91,401.56,693.93,335.95,289.91,289.91,528.97,289.91,432.15,641.29,401.56,641.29,1193.41,319.69,289.91,645.14,401.56,641.29,401.56,1193.41,289.91,528.97,401.56,289.91,289.91,401.56,289.91,604.24,401.56,401.56,641.29,289.91,401.56,1344.84,641.29,401.56,636.87,401.56,906.87,639.17,1111.93,335.95,1193.41,900.98,289.91,335.95,335.95,1193.41,562.28,1193.41,401.56,335.95,1637.05,289.91,641.29,641.29,641.29,289.91,401.56,641.29,1592.96,335.95,401.56,641.29,641.29,335.95,401.56,873.37,641.29,289.91,289.91,946.95,1180.85,693.78,289.91,289.91,319.69,1193.41,1193.41,401.56,289.91,641.29,1193.41,289.91,641.29,641.29,1344.84,641.29,401.56,289.91,401.56,403.87,289.91,641.29,289.91,881.86,641.29,289.91,289.91,641.29,289.91,641.29,289.91,401.56,788.81,709.82,641.29,641.29,641.29,641.29,335.95,401.56,401.56,641.29,641.29,641.29,641.29,1394.18,401.56,641.29,401.56,335.95,743.59,641.29,401.56,335.95,289.91,748.36,1193.41,1910.46,289.91,335.95,641.29,289.91,289.91,412.11,641.29,289.91,446.33,1193.41,375.39,289.91,562.28,289.91,289.91,401.56,289.91,289.91,401.56,401.56,335.95,289.91,401.56,289.91,289.91,289.91,641.29,641.29,641.29,641.29,641.29,289.91,641.29,1005.03,401.56,641.29,1633.36,289.91,1193.41,289.91,641.29,1230.53,401.56,641.29,562.28,401.56,401.56,401.56,401.56,641.29,641.29,641.29,641.29,335.95,289.91,1026.59,289.91,289.91
