French Name,English Name,Unit,Monetary Factor
Action sociale,Social action,kgCO2e / k€,100
"Assurance, services bancaires, conseil et honoraires","Insurance, banking, consulting services and honoraria",kgCO2e / k€,110
Activités pour la santé humaine,Human health services,kgCO2e / k€,120
Enseignement,Education,kgCO2e / k€,120
Courrier,Postal services,kgCO2e / k€,130
"Administration publiques et défense, sécurité sociale obligatoire","Public administration and defence, mandatory health insurance",kgCO2e / k€,160
Entreposage et services auxiliaires des transports,Warehousing and other ancillary transport services,kgCO2e / k€,170
"Services (imprimerie, publicité, architecture et ingénierie, maintenance multi-technique des bâtiments, gardiennage, nettoyage, sécurité, agence de voyage, autres services aux entreprises)","Overhead (printing, advertising, architecture and engineering services, technical maintenance for buildings, security and guard services, cleaning, travel agency, other services)",kgCO2e / k€,170
Télécommunications,Telecommunications,kgCO2e / k€,170
"Activités créatives, artistiques et de spectacle; Bibliothèques, archives, musées et autres activités culturelles; Organisation de jeux de hasard et d'argent","Creative, artistic and performing arts (libraries, archives, museums and other cultural activities, organization of games and betting)",kgCO2e / k€,210
Activités des organisations associatives,Not-for-profit activities and charities,kgCO2e / k€,220
Recherche et développement,Research and development,kgCO2e / k€,250
"Activités sportives, récréatives et de loisirs","Sports, recreation and leisure activities",kgCO2e / k€,270
"Édition (livres, journaux, revues, etc.)","Documentation (books, journals, newspapers, and so on)",kgCO2e / k€,280
Hébergement et restauration,Accommodations and meals,kgCO2e / k€,320
Construction,Construction,kgCO2e / k€,360
Réparation et installation de machines et d'équipements,Machinery and equipment installation and repairs,kgCO2e / k€,390
"Produits informatiques, électroniques et optiques",Electrical and optical IT and office equipment,kgCO2e / k€,400
Bois et article en bois,Wood and wood products,kgCO2e / k€,500
Meubles et autres biens manufacturés,Furniture and other manufactured goods,kgCO2e / k€,500
Produits pharmaceutiques,Pharmaceuticals,kgCO2e / k€,500
Transport terrestre,Land transport,kgCO2e / k€,560
Transport fluvial et maritime,Rivel and maritime transport,kgCO2e / k€,590
"Produits métalliques, sauf machines et équipements","Metallic products, other than machinery and equipment",kgCO2e / k€,600
Textile et habillement,Textiles and clothing,kgCO2e / k€,600
Machines et équipements,Machinery and equipment,kgCO2e / k€,700
Matériel de transport,Transport equipment,kgCO2e / k€,700
Plastiques et caoutchouc,Plastics and rubber,kgCO2e / k€,800
Papier et carton,Paper and cardboard,kgCO2e / k€,900
Produit agro-alimentaires transformés,Processed foods and foodstuffs,kgCO2e / k€,1000
Transport aérien,Air freight,kgCO2e / k€,1190
Produits chimiques,Chemicals,kgCO2e / k€,1600
"Métaux (aluminium, cuivre, acier, etc.)","Metals (aluminium, copper, steel, and so on)",kgCO2e / k€,1700
"Produit minéraux (ciment, verre, etc.)","Mineral products (cement, glass, and so on)",kgCO2e / k€,1800
Produits agricoles et de la mer,Agriculture and fishery products,kgCO2e / k€,2300
