NAF Code,NAF French Name,NAF English Name,EXIOBASE Name,ADEME Name,Unit,EXIOBASE Monetary Factor,ADEME Monetary Factor
0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses","Growing of cereals (except rice), leguminous crops and oil seeds",Wheat,Agriculture and fishery products,kgCO2e/€,1.054,2.3
0112Z,Culture du riz,Growing of rice,Paddy Rice,Agriculture and fishery products,kgCO2e/€,0.265,2.3
0113Z,"Culture de légumes, de melons, de racines et de tubercules","Growing of vegetables and melons, roots and tubers",Vegetables/fruit/nuts,Agriculture and fishery products,kgCO2e/€,0.2275,2.3
0114Z,Culture de la canne à sucre,Growing of sugar cane,Sugar cane/sugar beet,Agriculture and fishery products,kgCO2e/€,1.0346,2.3
0115Z,Culture du tabac,Growing of tobacco,Crops (not elsewhere specified),Agriculture and fishery products,kgCO2e/€,0.3909,2.3
0116Z,Culture de plantes à fibres,Growing of fibre crops,Plant-based fibres,Agriculture and fishery products,kgCO2e/€,0.2311,2.3
0119Z,Autres cultures non permanentes,Growing of other non-perennial crops,Crops (not elsewhere specified),Agriculture and fishery products,kgCO2e/€,0.3909,2.3
0121Z,Culture de la vigne,Growing of grapes,Vegetables/fruit/nuts,Agriculture and fishery products,kgCO2e/€,0.2275,2.3
0122Z,Culture de fruits tropicaux et subtropicaux,Growing of tropical and subtropical fruits,Vegetables/fruit/nuts,Agriculture and fishery products,kgCO2e/€,0.2275,2.3
0123Z,Culture d'agrumes,Growing of citrus fruits,Vegetables/fruit/nuts,Agriculture and fishery products,kgCO2e/€,0.2275,2.3
0124Z,Culture de fruits à pépins et à noyau,Growing of pome fruits and stone fruits,Vegetables/fruit/nuts,Agriculture and fishery products,kgCO2e/€,0.2275,2.3
0125Z,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque,Growing of other tree and bush fruits and nuts,Vegetables/fruit/nuts,Agriculture and fishery products,kgCO2e/€,0.2275,2.3
0126Z,Culture de fruits oléagineux,Growing of oleaginous fruits,Vegetables/fruit/nuts,Agriculture and fishery products,kgCO2e/€,0.2275,2.3
0127Z,Culture de plantes à boissons,Growing of beverage crops,Crops (not elsewhere specified),Agriculture and fishery products,kgCO2e/€,0.3909,2.3
0128Z,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques","Growing of spices, aromatic, drug and pharmaceutical crops",Crops (not elsewhere specified),Agriculture and fishery products,kgCO2e/€,0.3909,2.3
0129Z,Autres cultures permanentes,Growing of other perennial crops,Crops (not elsewhere specified),Agriculture and fishery products,kgCO2e/€,0.3909,2.3
0130Z,Reproduction de plantes,Plant propagation,Crops (not elsewhere specified),Agriculture and fishery products,kgCO2e/€,0.3909,2.3
0141Z,Élevage de vaches laitières,Raising of dairy cattle,Raw milk,Agriculture and fishery products,kgCO2e/€,2.5494,2.3
0142Z,Élevage d'autres bovins et de buffles,Raising of other cattle and buffaloes,Cattle,Agriculture and fishery products,kgCO2e/€,4.602,2.3
0143Z,Élevage de chevaux et d'autres équidés,Raising of horses and other equines,Meat animals (not elsewhere specified),Agriculture and fishery products,kgCO2e/€,2.319,2.3
0144Z,Élevage de chameaux et d'autres camélidés,Raising of camels and camelids,Meat animals (not elsewhere specified),Agriculture and fishery products,kgCO2e/€,2.319,2.3
0145Z,Élevage d'ovins et de caprins,Raising of sheep and goats,Meat animals (not elsewhere specified),Agriculture and fishery products,kgCO2e/€,2.319,2.3
0146Z,Élevage de porcins,Raising of swine/pigs,Pigs,Agriculture and fishery products,kgCO2e/€,0.8548,2.3
0147Z,Élevage de volailles,Raising of poultry,Meat products (poultry),Agriculture and fishery products,kgCO2e/€,0.3464,2.3
0149Z,Élevage d'autres animaux,Raising of other animals,Meat animals (not elsewhere specified),Agriculture and fishery products,kgCO2e/€,2.319,2.3
0150Z,Culture et élevage associés,Mixed farming,Paddy Rice,Agriculture and fishery products,kgCO2e/€,0.265,2.3
0161Z,Activités de soutien aux cultures,Support activities for crop production,Paddy Rice,Agriculture and fishery products,kgCO2e/€,0.265,2.3
0162Z,Activités de soutien à la production animale,Support activities for animal production,Cattle,Agriculture and fishery products,kgCO2e/€,4.602,2.3
0163Z,Traitement primaire des récoltes,Post-harvest crop activities,Paddy Rice,Agriculture and fishery products,kgCO2e/€,0.265,2.3
0164Z,Traitement des semences,Seed processing for propagation,Paddy Rice,Agriculture and fishery products,kgCO2e/€,0.265,2.3
0170Z,"Chasse, piégeage et services annexes","Hunting, trapping and related service activities",Meat animals (not elsewhere specified),Agriculture and fishery products,kgCO2e/€,2.319,2.3
0210Z,Sylviculture et autres activités forestières,Silviculture and other forestry activities,Products of forestry/logging and related services,,kgCO2e/€,0.3231,
0220Z,Exploitation forestière,Logging,Products of forestry/logging and related services,,kgCO2e/€,0.3231,
0230Z,Récolte de produits forestiers non ligneux poussant à l'état sauvage,Gathering of wild growing non-wood products,Products of forestry/logging and related services,,kgCO2e/€,0.3231,
0240Z,Services de soutien à l'exploitation forestière,Support services to forestry,Products of forestry/logging and related services,,kgCO2e/€,0.3231,
0311Z,Pêche en mer,Marine fishing,Fish and other fishing products/services incidental of fishing,Agriculture and fishery products,kgCO2e/€,0.3248,2.3
0312Z,Pêche en eau douce,Freshwater fishing,Fish and other fishing products/services incidental of fishing,Agriculture and fishery products,kgCO2e/€,0.3248,2.3
0321Z,Aquaculture en mer,Marine aquaculture,Fish and other fishing products/services incidental of fishing,Agriculture and fishery products,kgCO2e/€,0.3248,2.3
0322Z,Aquaculture en eau douce,Freshwater aquaculture,Fish and other fishing products/services incidental of fishing,Agriculture and fishery products,kgCO2e/€,0.3248,2.3
0510Z,Extraction de houille,Mining of hard coal,Lignite/brown coal,,kgCO2e/€,,
0520Z,Extraction de lignite,Mining of lignite,Lignite/brown coal,,kgCO2e/€,,
0610Z,Extraction de pétrole brut,Extraction of crude petroleum,Crude petroleum and services related to crude oil extraction (excluding surveying),,kgCO2e/€,2.1257,
0620Z,Extraction de gaz naturel,Extraction of natural gas,Natural gas and services related to natural gas extraction (excluding surveying),,kgCO2e/€,,
0710Z,Extraction de minerais de fer,Mining of iron ores,Iron ores,,kgCO2e/€,,
0721Z,Extraction de minerais d'uranium et de thorium,Mining of uranium and thorium ores,Uranium and thorium ores,,kgCO2e/€,,
0729Z,Extraction d'autres minerais de métaux non ferreux,Mining of other non-ferrous metal ores,Copper ores and concentrates,,kgCO2e/€,,
0811Z,"Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise","Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",Stone,,kgCO2e/€,0.7717,
0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",Operation of gravel and sand pits; mining of clays and kaolin,Sand and clay,,kgCO2e/€,1.0934,
0891Z,Extraction des minéraux chimiques et d'engrais minéraux,Mining of chemical and fertiliser minerals,Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),,kgCO2e/€,0.314,
0892Z,Extraction de tourbe,Extraction of peat,Lignite/brown coal,,kgCO2e/€,,
0893Z,Production de sel,Extraction of salt,Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),,kgCO2e/€,0.314,
0899Z,Autres activités extractives n.c.a.,Other mining and quarrying n.e.c.,Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),,kgCO2e/€,0.314,
0910Z,Activités de soutien à l'extraction d'hydrocarbures,Support activities for petroleum and natural gas extraction,Crude petroleum and services related to crude oil extraction (excluding surveying),,kgCO2e/€,2.1257,
0990Z,Activités de soutien aux autres industries extractives,Support activities for other mining and quarrying,Lignite/brown coal,,kgCO2e/€,,
1011Z,Transformation et conservation de la viande de boucherie,Processing and preserving of meat,Cattle,Processed foods and foodstuffs,kgCO2e/€,4.602,1
1012Z,Transformation et conservation de la viande de volaille,Processing and preserving of poultry meat,Meat products (poultry),Processed foods and foodstuffs,kgCO2e/€,0.3464,1
1013A,Préparation industrielle de produits à base de viande,Industrial production of meat products,Cattle,Processed foods and foodstuffs,kgCO2e/€,4.602,1
1013B,Charcuterie,Cooked meats production and trade,Cattle,Processed foods and foodstuffs,kgCO2e/€,4.602,1
1020Z,"Transformation et conservation de poisson, de crustacés et de mollusques","Processing and preserving of fish, crustaceans and molluscs",Fish products,Processed foods and foodstuffs,kgCO2e/€,0.5811,1
1031Z,Transformation et conservation de pommes de terre,Processing and preserving of potatoes,Food products (not elsewhere specified),Processed foods and foodstuffs,kgCO2e/€,0.4741,1
1032Z,Préparation de jus de fruits et légumes,Manufacture of fruit and vegetable juice,Food products (not elsewhere specified),Processed foods and foodstuffs,kgCO2e/€,0.4741,1
1039A,Autre transformation et conservation de légumes,Other processing and preserving of vegetables,Food products (not elsewhere specified),Processed foods and foodstuffs,kgCO2e/€,0.4741,1
1039B,Transformation et conservation de fruits,Processing and preserving of fruit,Food products (not elsewhere specified),Processed foods and foodstuffs,kgCO2e/€,0.4741,1
1041A,Fabrication d'huiles et graisses brutes,Manufacture of crude oils and fats,Vegetable oils and fats,Processed foods and foodstuffs,kgCO2e/€,0.2491,1
1041B,Fabrication d'huiles et graisses raffinées,Manufacture of refined oils and fats,Vegetable oils and fats,Processed foods and foodstuffs,kgCO2e/€,0.2491,1
1042Z,Fabrication de margarine et graisses comestibles similaires,Manufacture of margarine and similar edible fats,Vegetable oils and fats,Processed foods and foodstuffs,kgCO2e/€,0.2491,1
1051A,Fabrication de lait liquide et de produits frais,Manufacture of liquid milk and of fresh dairy products,Dairy products,Processed foods and foodstuffs,kgCO2e/€,0.9808,1
1051B,Fabrication de beurre,Manufacture of butter,Dairy products,Processed foods and foodstuffs,kgCO2e/€,0.9808,1
