MCC,MCC Name,EXIOBASE Name,Network,Year,Unit,AD,AE,AF,AG,AI,AL,AM,AN,AO,AQ,AR,AS,AT,AU,AW,AX,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BL,BM,BN,BO,BQ,BR,BS,BT,BV,BW,BY,BZ,CA,CC,CD,CF,CG,CH,CI,CK,CL,CM,CN,CO,CR,CU,CV,CW,CX,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,EH,ER,ES,ET,FI,FJ,FK,FM,FO,FR,GA,GB,GD,GE,GF,GG,GH,GI,GL,GM,GN,GP,GQ,GR,GS,GT,GU,GW,GY,HK,HM,HN,HR,HT,HU,ID,IE,IL,IM,IN,IO,IQ,IR,IS,IT,JE,JM,JO,JP,KE,KG,KH,KI,KM,KN,KP,KR,KW,KY,KZ,LA,LB,LC,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MF,MG,MH,MK,ML,MM,MN,MO,MP,MQ,MR,MS,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NF,NG,NI,NL,NO,NP,NR,NU,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PM,PN,PR,PS,PT,PW,PY,QA,RE,RO,RS,RU,RW,SA,SB,SC,SD,SE,SG,SH,SI,SJ,SK,SL,SM,SN,SO,SR,SS,ST,SV,SX,SY,SZ,TC,TD,TF,TG,TH,TJ,TK,TL,TM,TN,TO,TR,TT,TV,TW,TZ,UA,UG,UM,US,UY,UZ,VA,VC,VE,VG,VI,VN,VU,WF,WS,XK,YE,YT,ZA,ZM,ZW
742,Veterinary Services,Health and social work,"Visa, Mastercard",2021,kgCO2e/€,0.058,0.3896,0.3512,0.2261,0.2261,0.5213,0.3512,0.2261,0.6943,0.3512,0.2261,0.3512,0.0841,0.2007,0.2261,0.5213,0.3512,0.5213,0.2261,0.3512,0.1648,0.6943,0.3789,0.3896,0.6943,0.6943,0.2261,0.2261,0.3512,0.2261,0.2261,0.1798,0.2261,0.3512,0.2261,0.6943,0.5213,0.2261,0.0812,0.3512,0.6943,0.6943,0.6943,0.1117,0.6943,0.3512,0.2261,0.6943,1.1896,0.2261,0.2261,0.2261,0.6943,0.2261,0.3512,0.4465,0.1962,0.1497,0.6943,0.2278,0.2261,0.2261,0.6943,0.2261,0.9114,0.3896,0.6943,0.6943,0.1101,0.6943,0.1761,0.3512,0.2261,0.3512,0.5213,0.058,0.6943,0.1316,0.2261,0.3512,0.2261,0.5213,0.6943,0.1101,0.2261,0.6943,0.6943,0.2261,0.6943,0.16,0.2261,0.2261,0.3512,0.6943,0.2261,1.1896,0.3512,0.2261,0.2164,0.2261,0.3815,1.6017,0.041,0.3896,0.5213,0.3382,0.6943,0.3896,0.3896,0.5213,0.1278,0.5213,0.2261,0.3896,0.2355,0.6943,0.3512,0.3512,0.3512,0.6943,0.2261,0.3512,0.2872,0.3896,0.2261,0.3512,0.3512,0.3896,0.2261,0.5213,0.3512,0.6943,0.6943,0.1258,0.3321,0.3292,0.6943,0.6943,0.058,0.5213,0.5213,0.2261,0.6943,0.3512,0.5213,0.6943,0.3512,0.3512,1.1896,0.3512,0.2261,0.6943,0.2261,1.2456,0.6943,0.3512,0.6943,0.3577,0.3512,0.6943,0.6943,0.3512,0.6943,0.3512,0.6943,0.2261,0.0972,0.039,0.3512,0.3512,0.3512,0.3512,0.3896,0.2261,0.2261,0.3512,0.3512,0.3512,0.3512,0.3293,0.2261,0.3512,0.2261,0.3896,0.1083,0.3512,0.2261,0.3896,0.6943,0.1996,0.5213,0.2915,0.6943,0.3896,0.3512,0.6943,0.6943,0.0368,0.3512,0.6943,0.2209,0.5213,0.2562,0.6943,0.1278,0.6943,0.6943,0.2261,0.6943,0.6943,0.2261,0.2261,0.3896,0.6943,0.2261,0.6943,0.6943,0.6943,0.3512,0.3512,0.3512,0.3512,0.3512,0.6943,0.3512,0.6232,0.2261,0.3512,0.431,0.6943,0.5213,0.6943,0.3512,0.1365,0.2261,0.3512,0.1278,0.2261,0.2261,0.2261,0.2261,0.3512,0.3512,0.3512,0.3512,0.5213,0.3896,0.6943,0.6466,0.6943,0.6943
763,Agricultural Co-operatives,Cereal grains (not elsewhere specified),"Visa, Mastercard",2021,kgCO2e/€,1.0522,0.9049,1.0445,0.8673,0.8673,2.35,1.0445,0.8673,1.2241,1.0445,0.8673,1.0445,1.0252,0.8974,0.8673,2.35,1.0445,2.35,0.8673,1.0445,2.573,1.2241,1.888,0.9049,1.2241,1.2241,0.8673,0.8673,1.0445,0.8673,0.8673,2.9749,0.8673,1.0445,0.8673,1.2241,2.35,0.8673,1.507,1.0445,1.2241,1.2241,1.2241,1.1442,1.2241,1.0445,0.8673,1.2241,1.4677,0.8673,0.8673,0.8673,1.2241,0.8673,1.0445,3.8153,1.125,1.0928,1.2241,1.0645,0.8673,0.8673,1.2241,0.8673,2.1947,0.9049,1.2241,1.2241,0.9925,1.2241,2.0403,1.0445,0.8673,1.0445,2.35,1.0522,1.2241,1.4566,0.8673,1.0445,0.8673,2.35,1.2241,0.9925,0.8673,1.2241,1.2241,0.8673,1.2241,0.8744,0.8673,0.8673,1.0445,1.2241,0.8673,1.4677,1.0445,0.8673,1.4236,0.8673,1.0251,0.572,0.9889,0.9049,2.35,1.2377,1.2241,0.9049,0.9049,2.35,1.3171,2.35,0.8673,0.9049,1.0199,1.2241,1.0445,1.0445,1.0445,1.2241,0.8673,1.0445,0.7049,0.9049,0.8673,1.0445,1.0445,0.9049,0.8673,2.35,1.0445,1.2241,1.2241,1.9052,2.901,1.6565,1.2241,1.2241,1.0522,2.35,2.35,0.8673,1.2241,1.0445,2.35,1.2241,1.0445,1.0445,1.4677,1.0445,0.8673,1.2241,0.8673,0.7211,1.2241,1.0445,1.2241,0.9176,1.0445,1.2241,1.2241,1.0445,1.2241,1.0445,1.2241,0.8673,0.9166,1.4054,1.0445,1.0445,1.0445,1.0445,0.9049,0.8673,0.8673,1.0445,1.0445,1.0445,1.0445,2.4268,0.8673,1.0445,0.8673,0.9049,1.2197,1.0445,0.8673,0.9049,1.2241,1.554,2.35,1.1948,1.2241,0.9049,1.0445,1.2241,1.2241,1.3801,1.0445,1.2241,1.1913,2.35,1.2871,1.2241,1.3171,1.2241,1.2241,0.8673,1.2241,1.2241,0.8673,0.8673,0.9049,1.2241,0.8673,1.2241,1.2241,1.2241,1.0445,1.0445,1.0445,1.0445,1.0445,1.2241,1.0445,1.4066,0.8673,1.0445,2.7028,1.2241,2.35,1.2241,1.0445,1.1552,0.8673,1.0445,1.3171,0.8673,0.8673,0.8673,0.8673,1.0445,1.0445,1.0445,1.0445,2.35,0.9049,1.2241,3.0356,1.2241,1.2241
780,Landscaping and Horticultural Services,Other services (not elsewhere specified),"Visa, Mastercard",2021,kgCO2e/€,0.0614,0.7065,0.4405,0.3279,0.3279,1.457,0.4405,0.3279,1.4577,0.4405,0.3279,0.4405,0.0945,0.2066,0.3279,1.457,0.4405,1.457,0.3279,0.4405,0.2153,1.4577,0.2988,0.7065,1.4577,1.4577,0.3279,0.3279,0.4405,0.3279,0.3279,,0.3279,0.4405,0.3279,1.4577,1.457,0.3279,0.164,0.4405,1.4577,1.4577,1.4577,0.0686,1.4577,0.4405,0.3279,1.4577,0.6063,0.3279,0.3279,0.3279,1.4577,0.3279,0.4405,0.4041,0.2954,0.1465,1.4577,0.0952,0.3279,0.3279,1.4577,0.3279,0.5559,0.7065,1.4577,1.4577,0.1617,1.4577,0.2343,0.4405,0.3279,0.4405,1.457,0.0614,1.4577,0.0724,0.3279,0.4405,0.3279,1.457,1.4577,0.1617,0.3279,1.4577,1.4577,0.3279,1.4577,0.0921,0.3279,0.3279,0.4405,1.4577,0.3279,0.6063,0.4405,0.3279,0.3313,0.3279,0.2237,0.6602,0.175,0.7065,1.457,0.4769,1.4577,0.7065,0.7065,1.457,0.2524,1.457,0.3279,0.7065,0.2134,1.4577,0.4405,0.4405,0.4405,1.4577,0.3279,0.4405,0.4965,0.7065,0.3279,0.4405,0.4405,0.7065,0.3279,1.457,0.4405,1.4577,1.4577,0.3391,0.1197,0.2287,1.4577,1.4577,0.0614,1.457,1.457,0.3279,1.4577,0.4405,1.457,1.4577,0.4405,0.4405,0.6063,0.4405,0.3279,1.4577,0.3279,0.2774,1.4577,0.4405,1.4577,0.3828,0.4405,1.4577,1.4577,0.4405,1.4577,0.4405,1.4577,0.3279,0.0853,0.3086,0.4405,0.4405,0.4405,0.4405,0.7065,0.3279,0.3279,0.4405,0.4405,0.4405,0.4405,0.5963,0.3279,0.4405,0.3279,0.7065,0.2311,0.4405,0.3279,0.7065,1.4577,,1.457,0.2769,1.4577,0.7065,0.4405,1.4577,1.4577,0.1137,0.4405,1.4577,0.2598,1.457,0.2298,1.4577,0.2524,1.4577,1.4577,0.3279,1.4577,1.4577,0.3279,0.3279,0.7065,1.4577,0.3279,1.4577,1.4577,1.4577,0.4405,0.4405,0.4405,0.4405,0.4405,1.4577,0.4405,1.1111,0.3279,0.4405,0.4203,1.4577,1.457,1.4577,0.4405,0.1926,0.3279,0.4405,0.2524,0.3279,0.3279,0.3279,0.3279,0.4405,0.4405,0.4405,0.4405,1.457,0.7065,1.4577,0.7748,1.4577,1.4577
1520,General Contractors – Residential and Commercial,Construction work,"Visa, Mastercard",2021,kgCO2e/€,0.2332,0.9881,0.9371,0.5518,0.5518,1.1844,0.9371,0.5518,1.084,0.9371,0.5518,0.9371,0.2678,0.4949,0.5518,1.1844,0.9371,1.1844,0.5518,0.9371,0.3221,1.084,1.021,0.9881,1.084,1.084,0.5518,0.5518,0.9371,0.5518,0.5518,0.5169,0.5518,0.9371,0.5518,1.084,1.1844,0.5518,0.2881,0.9371,1.084,1.084,1.084,0.1779,1.084,0.9371,0.5518,1.084,1.6356,0.5518,0.5518,0.5518,1.084,0.5518,0.9371,0.7368,0.397,0.4011,1.084,0.2706,0.5518,0.5518,1.084,0.5518,0.6019,0.9881,1.084,1.084,0.2483,1.084,0.3144,0.9371,0.5518,0.9371,1.1844,0.2332,1.084,0.1673,0.5518,0.9371,0.5518,1.1844,1.084,0.2483,0.5518,1.084,1.084,0.5518,1.084,0.7683,0.5518,0.5518,0.9371,1.084,0.5518,1.6356,0.9371,0.5518,0.5133,0.5518,0.4806,0.6291,0.2758,0.9881,1.1844,1.3149,1.084,0.9881,0.9881,1.1844,0.4258,1.1844,0.5518,0.9881,0.4024,1.084,0.9371,0.9371,0.9371,1.084,0.5518,0.9371,0.6796,0.9881,0.5518,0.9371,0.9371,0.9881,0.5518,1.1844,0.9371,1.084,1.084,0.3743,0.1925,0.6525,1.084,1.084,0.2332,1.1844,1.1844,0.5518,1.084,0.9371,1.1844,1.084,0.9371,0.9371,1.6356,0.9371,0.5518,1.084,0.5518,0.9514,1.084,0.9371,1.084,0.4571,0.9371,1.084,1.084,0.9371,1.084,0.9371,1.084,0.5518,0.3521,0.1897,0.9371,0.9371,0.9371,0.9371,0.9881,0.5518,0.5518,0.9371,0.9371,0.9371,0.9371,0.6472,0.5518,0.9371,0.5518,0.9881,0.6751,0.9371,0.5518,0.9881,1.084,0.6631,1.1844,0.694,1.084,0.9881,0.9371,1.084,1.084,0.1987,0.9371,1.084,0.3412,1.1844,0.3333,1.084,0.4258,1.084,1.084,0.5518,1.084,1.084,0.5518,0.5518,0.9881,1.084,0.5518,1.084,1.084,1.084,0.9371,0.9371,0.9371,0.9371,0.9371,1.084,0.9371,0.5326,0.5518,0.9371,0.9112,1.084,1.1844,1.084,0.9371,0.2708,0.5518,0.9371,0.4258,0.5518,0.5518,0.5518,0.5518,0.9371,0.9371,0.9371,0.9371,1.1844,0.9881,1.084,1.0749,1.084,1.084
1711,"Heating, Plumbing, and Air Conditioning Contractors",Construction work,"Visa, Mastercard",2021,kgCO2e/€,0.2332,0.9881,0.9371,0.5518,0.5518,1.1844,0.9371,0.5518,1.084,0.9371,0.5518,0.9371,0.2678,0.4949,0.5518,1.1844,0.9371,1.1844,0.5518,0.9371,0.3221,1.084,1.021,0.9881,1.084,1.084,0.5518,0.5518,0.9371,0.5518,0.5518,0.5169,0.5518,0.9371,0.5518,1.084,1.1844,0.5518,0.2881,0.9371,1.084,1.084,1.084,0.1779,1.084,0.9371,0.5518,1.084,1.6356,0.5518,0.5518,0.5518,1.084,0.5518,0.9371,0.7368,0.397,0.4011,1.084,0.2706,0.5518,0.5518,1.084,0.5518,0.6019,0.9881,1.084,1.084,0.2483,1.084,0.3144,0.9371,0.5518,0.9371,1.1844,0.2332,1.084,0.1673,0.5518,0.9371,0.5518,1.1844,1.084,0.2483,0.5518,1.084,1.084,0.5518,1.084,0.7683,0.5518,0.5518,0.9371,1.084,0.5518,1.6356,0.9371,0.5518,0.5133,0.5518,0.4806,0.6291,0.2758,0.9881,1.1844,1.3149,1.084,0.9881,0.9881,1.1844,0.4258,1.1844,0.5518,0.9881,0.4024,1.084,0.9371,0.9371,0.9371,1.084,0.5518,0.9371,0.6796,0.9881,0.5518,0.9371,0.9371,0.9881,0.5518,1.1844,0.9371,1.084,1.084,0.3743,0.1925,0.6525,1.084,1.084,0.2332,1.1844,1.1844,0.5518,1.084,0.9371,1.1844,1.084,0.9371,0.9371,1.6356,0.9371,0.5518,1.084,0.5518,0.9514,1.084,0.9371,1.084,0.4571,0.9371,1.084,1.084,0.9371,1.084,0.9371,1.084,0.5518,0.3521,0.1897,0.9371,0.9371,0.9371,0.9371,0.9881,0.5518,0.5518,0.9371,0.9371,0.9371,0.9371,0.6472,0.5518,0.9371,0.5518,0.9881,0.6751,0.9371,0.5518,0.9881,1.084,0.6631,1.1844,0.694,1.084,0.9881,0.9371,1.084,1.084,0.1987,0.9371,1.084,0.3412,1.1844,0.3333,1.084,0.4258,1.084,1.084,0.5518,1.084,1.084,0.5518,0.5518,0.9881,1.084,0.5518,1.084,1.084,1.084,0.9371,0.9371,0.9371,0.9371,0.9371,1.084,0.9371,0.5326,0.5518,0.9371,0.9112,1.084,1.1844,1.084,0.9371,0.2708,0.5518,0.9371,0.4258,0.5518,0.5518,0.5518,0.5518,0.9371,0.9371,0.9371,0.9371,1.1844,0.9881,1.084,1.0749,1.084,1.084
1731,Electrical Contractors,Construction work,"Visa, Mastercard",2021,kgCO2e/€,0.2332,0.9881,0.9371,0.5518,0.5518,1.1844,0.9371,0.5518,1.084,0.9371,0.5518,0.9371,0.2678,0.4949,0.5518,1.1844,0.9371,1.1844,0.5518,0.9371,0.3221,1.084,1.021,0.9881,1.084,1.084,0.5518,0.5518,0.9371,0.5518,0.5518,0.5169,0.5518,0.9371,0.5518,1.084,1.1844,0.5518,0.2881,0.9371,1.084,1.084,1.084,0.1779,1.084,0.9371,0.5518,1.084,1.6356,0.5518,0.5518,0.5518,1.084,0.5518,0.9371,0.7368,0.397,0.4011,1.084,0.2706,0.5518,0.5518,1.084,0.5518,0.6019,0.9881,1.084,1.084,0.2483,1.084,0.3144,0.9371,0.5518,0.9371,1.1844,0.2332,1.084,0.1673,0.5518,0.9371,0.5518,1.1844,1.084,0.2483,0.5518,1.084,1.084,0.5518,1.084,0.7683,0.5518,0.5518,0.9371,1.084,0.5518,1.6356,0.9371,0.5518,0.5133,0.5518,0.4806,0.6291,0.2758,0.9881,1.1844,1.3149,1.084,0.9881,0.9881,1.1844,0.4258,1.1844,0.5518,0.9881,0.4024,1.084,0.9371,0.9371,0.9371,1.084,0.5518,0.9371,0.6796,0.9881,0.5518,0.9371,0.9371,0.9881,0.5518,1.1844,0.9371,1.084,1.084,0.3743,0.1925,0.6525,1.084,1.084,0.2332,1.1844,1.1844,0.5518,1.084,0.9371,1.1844,1.084,0.9371,0.9371,1.6356,0.9371,0.5518,1.084,0.5518,0.9514,1.084,0.9371,1.084,0.4571,0.9371,1.084,1.084,0.9371,1.084,0.9371,1.084,0.5518,0.3521,0.1897,0.9371,0.9371,0.9371,0.9371,0.9881,0.5518,0.5518,0.9371,0.9371,0.9371,0.9371,0.6472,0.5518,0.9371,0.5518,0.9881,0.6751,0.9371,0.5518,0.9881,1.084,0.6631,1.1844,0.694,1.084,0.9881,0.9371,1.084,1.084,0.1987,0.9371,1.084,0.3412,1.1844,0.3333,1.084,0.4258,1.084,1.084,0.5518,1.084,1.084,0.5518,0.5518,0.9881,1.084,0.5518,1.084,1.084,1.084,0.9371,0.9371,0.9371,0.9371,0.9371,1.084,0.9371,0.5326,0.5518,0.9371,0.9112,1.084,1.1844,1.084,0.9371,0.2708,0.5518,0.9371,0.4258,0.5518,0.5518,0.5518,0.5518,0.9371,0.9371,0.9371,0.9371,1.1844,0.9881,1.084,1.0749,1.084,1.084
1740,"Masonry, Stonework, Tile Setting, Plastering and Insulation Contractors",Construction work,"Visa, Mastercard",2021,kgCO2e/€,0.2332,0.9881,0.9371,0.5518,0.5518,1.1844,0.9371,0.5518,1.084,0.9371,0.5518,0.9371,0.2678,0.4949,0.5518,1.1844,0.9371,1.1844,0.5518,0.9371,0.3221,1.084,1.021,0.9881,1.084,1.084,0.5518,0.5518,0.9371,0.5518,0.5518,0.5169,0.5518,0.9371,0.5518,1.084,1.1844,0.5518,0.2881,0.9371,1.084,1.084,1.084,0.1779,1.084,0.9371,0.5518,1.084,1.6356,0.5518,0.5518,0.5518,1.084,0.5518,0.9371,0.7368,0.397,0.4011,1.084,0.2706,0.5518,0.5518,1.084,0.5518,0.6019,0.9881,1.084,1.084,0.2483,1.084,0.3144,0.9371,0.5518,0.9371,1.1844,0.2332,1.084,0.1673,0.5518,0.9371,0.5518,1.1844,1.084,0.2483,0.5518,1.084,1.084,0.5518,1.084,0.7683,0.5518,0.5518,0.9371,1.084,0.5518,1.6356,0.9371,0.5518,0.5133,0.5518,0.4806,0.6291,0.2758,0.9881,1.1844,1.3149,1.084,0.9881,0.9881,1.1844,0.4258,1.1844,0.5518,0.9881,0.4024,1.084,0.9371,0.9371,0.9371,1.084,0.5518,0.9371,0.6796,0.9881,0.5518,0.9371,0.9371,0.9881,0.5518,1.1844,0.9371,1.084,1.084,0.3743,0.1925,0.6525,1.084,1.084,0.2332,1.1844,1.1844,0.5518,1.084,0.9371,1.1844,1.084,0.9371,0.9371,1.6356,0.9371,0.5518,1.084,0.5518,0.9514,1.084,0.9371,1.084,0.4571,0.9371,1.084,1.084,0.9371,1.084,0.9371,1.084,0.5518,0.3521,0.1897,0.9371,0.9371,0.9371,0.9371,0.9881,0.5518,0.5518,0.9371,0.9371,0.9371,0.9371,0.6472,0.5518,0.9371,0.5518,0.9881,0.6751,0.9371,0.5518,0.9881,1.084,0.6631,1.1844,0.694,1.084,0.9881,0.9371,1.084,1.084,0.1987,0.9371,1.084,0.3412,1.1844,0.3333,1.084,0.4258,1.084,1.084,0.5518,1.084,1.084,0.5518,0.5518,0.9881,1.084,0.5518,1.084,1.084,1.084,0.9371,0.9371,0.9371,0.9371,0.9371,1.084,0.9371,0.5326,0.5518,0.9371,0.9112,1.084,1.1844,1.084,0.9371,0.2708,0.5518,0.9371,0.4258,0.5518,0.5518,0.5518,0.5518,0.9371,0.9371,0.9371,0.9371,1.1844,0.9881,1.084,1.0749,1.084,1.084
1750,Carpentry Contractors,Construction work,"Visa, Mastercard",2021,kgCO2e/€,0.2332,0.9881,0.9371,0.5518,0.5518,1.1844,0.9371,0.5518,1.084,0.9371,0.5518,0.9371,0.2678,0.4949,0.5518,1.1844,0.9371,1.1844,0.5518,0.9371,0.3221,1.084,1.021,0.9881,1.084,1.084,0.5518,0.5518,0.9371,0.5518,0.5518,0.5169,0.5518,0.9371,0.5518,1.084,1.1844,0.5518,0.2881,0.9371,1.084,1.084,1.084,0.1779,1.084,0.9371,0.5518,1.084,1.6356,0.5518,0.5518,0.5518,1.084,0.5518,0.9371,0.7368,0.397,0.4011,1.084,0.2706,0.5518,0.5518,1.084,0.5518,0.6019,0.9881,1.084,1.084,0.2483,1.084,0.3144,0.9371,0.5518,0.9371,1.1844,0.2332,1.084,0.1673,0.5518,0.9371,0.5518,1.1844,1.084,0.2483,0.5518,1.084,1.084,0.5518,1.084,0.7683,0.5518,0.5518,0.9371,1.084,0.5518,1.6356,0.9371,0.5518,0.5133,0.5518,0.4806,0.6291,0.2758,0.9881,1.1844,1.3149,1.084,0.9881,0.9881,1.1844,0.4258,1.1844,0.5518,0.9881,0.4024,1.084,0.9371,0.9371,0.9371,1.084,0.5518,0.9371,0.6796,0.9881,0.5518,0.9371,0.9371,0.9881,0.5518,1.1844,0.9371,1.084,1.084,0.3743,0.1925,0.6525,1.084,1.084,0.2332,1.1844,1.1844,0.5518,1.084,0.9371,1.1844,1.084,0.9371,0.9371,1.6356,0.9371,0.5518,1.084,0.5518,0.9514,1.084,0.9371,1.084,0.4571,0.9371,1.084,1.084,0.9371,1.084,0.9371,1.084,0.5518,0.3521,0.1897,0.9371,0.9371,0.9371,0.9371,0.9881,0.5518,0.5518,0.9371,0.9371,0.9371,0.9371,0.6472,0.5518,0.9371,0.5518,0.9881,0.6751,0.9371,0.5518,0.9881,1.084,0.6631,1.1844,0.694,1.084,0.9881,0.9371,1.084,1.084,0.1987,0.9371,1.084,0.3412,1.1844,0.3333,1.084,0.4258,1.084,1.084,0.5518,1.084,1.084,0.5518,0.5518,0.9881,1.084,0.5518,1.084,1.084,1.084,0.9371,0.9371,0.9371,0.9371,0.9371,1.084,0.9371,0.5326,0.5518,0.9371,0.9112,1.084,1.1844,1.084,0.9371,0.2708,0.5518,0.9371,0.4258,0.5518,0.5518,0.5518,0.5518,0.9371,0.9371,0.9371,0.9371,1.1844,0.9881,1.084,1.0749,1.084,1.084
1761,"Roofing, Siding, and Sheet Metal Work Contractors",Construction work,"Visa, Mastercard",2021,kgCO2e/€,0.2332,0.9881,0.9371,0.5518,0.5518,1.1844,0.9371,0.5518,1.084,0.9371,0.5518,0.9371,0.2678,0.4949,0.5518,1.1844,0.9371,1.1844,0.5518,0.9371,0.3221,1.084,1.021,0.9881,1.084,1.084,0.5518,0.5518,0.9371,0.5518,0.5518,0.5169,0.5518,0.9371,0.5518,1.084,1.1844,0.5518,0.2881,0.9371,1.084,1.084,1.084,0.1779,1.084,0.9371,0.5518,1.084,1.6356,0.5518,0.5518,0.5518,1.084,0.5518,0.9371,0.7368,0.397,0.4011,1.084,0.2706,0.5518,0.5518,1.084,0.5518,0.6019,0.9881,1.084,1.084,0.2483,1.084,0.3144,0.9371,0.5518,0.9371,1.1844,0.2332,1.084,0.1673,0.5518,0.9371,0.5518,1.1844,1.084,0.2483,0.5518,1.084,1.084,0.5518,1.084,0.7683,0.5518,0.5518,0.9371,1.084,0.5518,1.6356,0.9371,0.5518,0.5133,0.5518,0.4806,0.6291,0.2758,0.9881,1.1844,1.3149,1.084,0.9881,0.9881,1.1844,0.4258,1.1844,0.5518,0.9881,0.4024,1.084,0.9371,0.9371,0.9371,1.084,0.5518,0.9371,0.6796,0.9881,0.5518,0.9371,0.9371,0.9881,0.5518,1.1844,0.9371,1.084,1.084,0.3743,0.1925,0.6525,1.084,1.084,0.2332,1.1844,1.1844,0.5518,1.084,0.9371,1.1844,1.084,0.9371,0.9371,1.6356,0.9371,0.5518,1.084,0.5518,0.9514,1.084,0.9371,1.084,0.4571,0.9371,1.084,1.084,0.9371,1.084,0.9371,1.084,0.5518,0.3521,0.1897,0.9371,0.9371,0.9371,0.9371,0.9881,0.5518,0.5518,0.9371,0.9371,0.9371,0.9371,0.6472,0.5518,0.9371,0.5518,0.9881,0.6751,0.9371,0.5518,0.9881,1.084,0.6631,1.1844,0.694,1.084,0.9881,0.9371,1.084,1.084,0.1987,0.9371,1.084,0.3412,1.1844,0.3333,1.084,0.4258,1.084,1.084,0.5518,1.084,1.084,0.5518,0.5518,0.9881,1.084,0.5518,1.084,1.084,1.084,0.9371,0.9371,0.9371,0.9371,0.9371,1.084,0.9371,0.5326,0.5518,0.9371,0.9112,1.084,1.1844,1.084,0.9371,0.2708,0.5518,0.9371,0.4258,0.5518,0.5518,0.5518,0.5518,0.9371,0.9371,0.9371,0.9371,1.1844,0.9881,1.084,1.0749,1.084,1.084
1771,Concrete Work Contractors,Construction work,"Visa, Mastercard",2021,kgCO2e/€,0.2332,0.9881,0.9371,0.5518,0.5518,1.1844,0.9371,0.5518,1.084,0.9371,0.5518,0.9371,0.2678,0.4949,0.5518,1.1844,0.9371,1.1844,0.5518,0.9371,0.3221,1.084,1.021,0.9881,1.084,1.084,0.5518,0.5518,0.9371,0.5518,0.5518,0.5169,0.5518,0.9371,0.5518,1.084,1.1844,0.5518,0.2881,0.9371,1.084,1.084,1.084,0.1779,1.084,0.9371,0.5518,1.084,1.6356,0.5518,0.5518,0.5518,1.084,0.5518,0.9371,0.7368,0.397,0.4011,1.084,0.2706,0.5518,0.5518,1.084,0.5518,0.6019,0.9881,1.084,1.084,0.2483,1.084,0.3144,0.9371,0.5518,0.9371,1.1844,0.2332,1.084,0.1673,0.5518,0.9371,0.5518,1.1844,1.084,0.2483,0.5518,1.084,1.084,0.5518,1.084,0.7683,0.5518,0.5518,0.9371,1.084,0.5518,1.6356,0.9371,0.5518,0.5133,0.5518,0.4806,0.6291,0.2758,0.9881,1.1844,1.3149,1.084,0.9881,0.9881,1.1844,0.4258,1.1844,0.5518,0.9881,0.4024,1.084,0.9371,0.9371,0.9371,1.084,0.5518,0.9371,0.6796,0.9881,0.5518,0.9371,0.9371,0.9881,0.5518,1.1844,0.9371,1.084,1.084,0.3743,0.1925,0.6525,1.084,1.084,0.2332,1.1844,1.1844,0.5518,1.084,0.9371,1.1844,1.084,0.9371,0.9371,1.6356,0.9371,0.5518,1.084,0.5518,0.9514,1.084,0.9371,1.084,0.4571,0.9371,1.084,1.084,0.9371,1.084,0.9371,1.084,0.5518,0.3521,0.1897,0.9371,0.9371,0.9371,0.9371,0.9881,0.5518,0.5518,0.9371,0.9371,0.9371,0.9371,0.6472,0.5518,0.9371,0.5518,0.9881,0.6751,0.9371,0.5518,0.9881,1.084,0.6631,1.1844,0.694,1.084,0.9881,0.9371,1.084,1.084,0.1987,0.9371,1.084,0.3412,1.1844,0.3333,1.084,0.4258,1.084,1.084,0.5518,1.084,1.084,0.5518,0.5518,0.9881,1.084,0.5518,1.084,1.084,1.084,0.9371,0.9371,0.9371,0.9371,0.9371,1.084,0.9371,0.5326,0.5518,0.9371,0.9112,1.084,1.1844,1.084,0.9371,0.2708,0.5518,0.9371,0.4258,0.5518,0.5518,0.5518,0.5518,0.9371,0.9371,0.9371,0.9371,1.1844,0.9881,1.084,1.0749,1.084,1.084
